Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Other,2026-03-18 06:56:00,false,"Weight lift - core","0.00","155","00:30:57","107","132","0.8","5","122","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","78","--","--","-3","No","00:00:38.6","36","--","--","--","--","--","--","--","--","00:00:00","00:31:10","938","956"
Strength Training,2026-03-18 05:45:50,false,"Weight lift - legs","0.00","302","01:03:33","105","153","1.9","5","158","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","392","--","--","-7","No","00:00:36.7","48","--","--","--","--","--","--","--","--","00:00:00","01:04:29","946","962"
Other,2026-03-16 07:05:46,false,"Weight lift - core","0.00","152","00:30:01","108","130","0.8","13","150","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","158","--","--","-2","No","00:00:21.7","36","--","--","--","--","--","--","--","--","00:00:00","00:30:01","888","907"
Strength Training,2026-03-16 06:02:41,false,"Weight lift - chest and biceps","0.00","274","00:56:32","108","147","1.3","5","191","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","366","--","--","-3","No","00:00:17.2","48","--","--","--","--","--","--","--","--","00:00:00","00:56:32","883","914"
Other,2026-03-04 17:04:45,false,"Weight lift - core","0.58","231","00:33:29","124","149","2.0","9","154","1.0","3.3","10","13","1.64","--","--","--","--","--","0.0","--","--","--","--","--","90","--","--","-2","No","00:00:14.9","36","--","--","--","--","--","--","--","--","00:18:58","00:33:29","713","721"
Strength Training,2026-03-04 16:11:11,false,"Weight lift - chest and biceps","0.08","304","00:48:50","120","152","1.9","9","240","0.1","3.0","--","--","0.41","--","--","--","--","--","0.0","--","--","--","--","--","576","--","--","-2","No","00:00:21.1","44","--","--","--","--","--","--","--","--","00:02:30","00:48:50","711","720"
Strength Training,2026-02-23 17:01:33,false,"Weight lift - core","0.44","213","00:30:31","123","150","2.0","9","133","0.9","4.3","13","7","1.27","--","--","--","--","--","0.0","--","--","--","--","--","138","--","--","-2","No","00:00:18.9","36","--","--","--","--","--","--","--","--","00:12:15","00:30:39","713","725"
Strength Training,2026-02-23 16:18:08,false,"Weight lift - chest and biceps","0.00","182","00:42:11","99","147","0.7","9","155","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","482","--","--","-2","No","00:00:23.3","44","--","--","--","--","--","--","--","--","00:00:00","00:42:11","1,146","1,161"
Strength Training,2026-02-20 16:58:55,false,"Weight lift - core","0.44","212","00:31:26","121","150","2.0","20","129","0.9","5.3","16","20","0.56","--","--","--","--","--","0.0","--","--","--","--","--","300","--","--","-2","No","00:00:10.6","36","--","--","--","--","--","--","--","--","00:14:01","00:32:10","713","722"
Strength Training,2026-02-20 16:13:54,false,"Weight lift - back and triceps","0.01","256","00:40:22","118","155","2.0","7","154","0.0","2.1","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","450","--","--","-3","No","00:00:13.8","44","--","--","--","--","--","--","--","--","00:00:25","00:41:34","703","722"
