Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Indoor Cycling,2025-11-17 18:58:41,false,"Evening bike","0.00","310","00:41:32","130","143","2.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-3","No","00:13:34","2","--","--","--","--","--","--","--","--","00:00:00","00:43:50","--","--"
Strength Training,2025-11-17 18:23:01,false,"Core and abs - climb","0.00","201","00:30:01","119","157","2.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","236","118","18","-3","No","00:30:01","1","--","--","--","--","--","--","--","--","00:13:00","00:30:01","--","--"
Strength Training,2025-11-17 05:59:27,false,"Weight lift - shoulders and legs","0.00","166","00:38:57","100","136","0.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","140","138","20","-2","No","00:38:57","1","--","--","--","--","--","--","--","--","00:11:44","00:38:57","--","--"
Walking,2025-11-14 18:37:18,false,"Triathlon training (incline walk)","1.02","191","00:23:32","130","144","2.0","20","158","23:05","14:59","--","--","0.45","--","--","--","--","--","0.0","--","--","--","--","--","732","--","--","--","No","00:23:32","1","--","--","--","--","--","--","--","--","00:04:19","00:23:32","--","--"
Indoor Cycling,2025-11-14 18:03:22,false,"Triathlon training (bike)","0.00","246","00:29:55","134","162","2.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","No","00:29:55","1","--","--","--","--","--","--","--","--","00:00:00","00:29:55","--","--"
Pool Swim,2025-11-14 17:40:50,false,"Triathlon training (swim)","175","154","00:17:03","131","183","2.1","--","--","5:18","2:39","--","--","--","--","--","--","--","--","0.0","--","--","188","107","20","--","--","--","--","No","00:00:04.6","16","--","--","--","--","--","--","--","--","00:09:17.5","00:17:08","--","--"
Strength Training,2025-11-14 06:18:40,false,"Weight lift - full body","0.00","246","00:45:45","111","148","1.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","202","101","18","-2","No","00:45:45","1","--","--","--","--","--","--","--","--","00:09:36.8","00:45:45","--","--"
Strength Training,2025-11-13 06:02:03,false,"Weight lift - back and triceps","0.00","207","00:40:39","109","146","1.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","244","117","20","-4","No","00:40:39","1","--","--","--","--","--","--","--","--","00:10:13","00:40:39","--","--"
Pool Swim,2025-11-12 19:08:28,false,"Evening swim","25","28","00:03:27.6","119","131","0.4","--","--","0:54","0:54","--","--","--","--","--","--","--","--","0.0","--","--","6","20","27","--","--","--","--","No","00:00:09.8","6","--","--","--","--","--","--","--","--","00:00:13.6","00:03:36.8","--","--"
Strength Training,2025-11-12 18:20:04,false,"Core and abs - plate","0.00","134","00:29:23","102","128","0.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","422","211","18","-1","No","00:29:23","1","--","--","--","--","--","--","--","--","00:13:00","00:29:23","--","--"
Strength Training,2025-11-12 06:18:47,false,"Weight lift - legs and shoulders","0.00","149","00:39:17","95","121","0.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","124","135","20","-2","No","00:39:17","1","--","--","--","--","--","--","--","--","00:10:51","00:39:17","--","--"
Strength Training,2025-11-11 06:00:31,false,"Weight lift - chest and biceps","0.00","184","00:42:23","101","135","0.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","208","99","20","-3","No","00:42:23","1","--","--","--","--","--","--","--","--","00:11:13","00:42:23","--","--"
Indoor Cycling,2025-11-10 16:33:29,false,"Evening bike","0.00","142","00:17:56","127","159","1.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-1","No","00:17:56","1","--","--","--","--","--","--","--","--","00:00:00","00:17:56","--","--"
Strength Training,2025-11-10 16:03:43,false,"Core and abs - dumbbells","0.00","147","00:27:14","109","140","0.8","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","360","180","18","-1","No","00:27:14","1","--","--","--","--","--","--","--","--","00:13:00","00:27:14","--","--"
Strength Training,2025-11-10 06:09:25,false,"Weight lift - shoulders and legs","0.00","178","00:37:30","105","144","0.8","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","140","132","20","-3","No","00:37:30","1","--","--","--","--","--","--","--","--","00:10:36","00:37:30","--","--"
Walking,2025-11-08 08:21:17,false,"Triathlon training (walk)","1.03","158","00:24:40","123","143","1.0","96","121","24:01","15:18","7","3","0.69","--","--","--","--","--","0.0","--","--","--","--","--","2,400","--","--","-2","No","00:01:30.2","2","--","--","--","--","--","--","--","--","00:23:26","00:24:49","476","484"
Indoor Cycling,2025-11-08 07:48:39,false,"Triathlon training (bike)","0.00","250","00:26:43","139","173","2.4","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-4","No","00:26:43","1","--","--","--","--","--","--","--","--","00:00:00","00:26:43","--","--"
Pool Swim,2025-11-08 07:29:34,false,"Triathlon training (swim)","200","112","00:15:41","116","160","1.3","--","--","1:49","0:42","--","--","--","--","--","--","--","--","0.0","--","--","99","40","27","--","--","--","--","No","00:00:04.5","19","--","--","--","--","--","--","--","--","00:03:38.0","00:15:46","--","--"
Strength Training,2025-11-07 06:06:43,false,"Weight lift - full body","0.00","196","00:46:55","99","157","0.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","244","138","18","-4","No","00:46:55","1","--","--","--","--","--","--","--","--","00:11:10","00:47:27","--","--"
Strength Training,2025-11-06 06:00:35,false,"Weight lift - back and triceps","0.00","186","00:38:41","106","139","0.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","278","120","20","-2","No","00:38:41","1","--","--","--","--","--","--","--","--","00:11:07","00:38:41","--","--"
Indoor Cycling,2025-11-05 18:55:15,false,"Evening bike","0.00","159","00:25:44","116","132","0.9","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-1","No","00:25:44","1","--","--","--","--","--","--","--","--","00:00:00","00:25:44","--","--"
Strength Training,2025-11-05 18:28:34,false,"Core and abs - dumbbells","0.00","134","00:25:07","109","137","0.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","278","139","18","-1","No","00:25:07","1","--","--","--","--","--","--","--","--","00:09:04.2","00:25:07","--","--"
Strength Training,2025-11-05 06:01:19,false,"Weight lift - shoulders and legs","0.00","146","00:38:40","95","131","0.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","126","138","20","-3","No","00:38:40","1","--","--","--","--","--","--","--","--","00:11:18","00:38:40","--","--"
Pool Swim,2025-11-04 18:54:24,false,"Evening swim","--","69","00:14:23","98","128","0.3","--","--","--:--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","No","00:00:00","15","--","--","--","--","--","--","--","--","00:00:00","00:14:46","--","--"
Yoga,2025-11-04 18:17:41,false,"Evening yoga","--","43","00:25:08","74","95","0.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","1","-1","No","00:25:08","1","18","11","23","16","48","64","49","82","00:25:08","00:25:08","--","--"
Strength Training,2025-11-04 05:50:26,false,"Weight lift - chest and biceps","0.00","165","00:44:18","94","147","0.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","206","108","20","-3","No","00:44:18","1","--","--","--","--","--","--","--","--","00:10:38","00:44:18","--","--"
Indoor Cycling,2025-11-03 18:55:49,false,"Evening bike","0.00","183","00:35:59","110","127","0.8","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","No","00:35:59","1","--","--","--","--","--","--","--","--","00:00:00","00:35:59","--","--"
Strength Training,2025-11-03 18:33:35,false,"Core and abs - kettlebells","0.00","108","00:20:15","108","126","0.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","318","135","18","--","No","00:20:15","1","--","--","--","--","--","--","--","--","00:08:11.9","00:20:15","--","--"
Strength Training,2025-11-03 06:05:57,false,"Weight lift - shoulders and legs","0.00","152","00:44:50","91","124","0.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","156","132","20","-1","No","00:44:50","1","--","--","--","--","--","--","--","--","00:12:27","00:44:50","--","--"
Indoor Cycling,2025-10-30 05:56:57,false,"Morning bike","0.00","114","00:44:38","82","105","0.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-3","No","00:44:38","1","--","--","--","--","--","--","--","--","00:00:00","00:44:38","--","--"
Indoor Cycling,2025-10-29 05:57:17,false,"Morning bike","0.00","97","00:39:15","81","105","0.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-3","No","00:39:15","1","--","--","--","--","--","--","--","--","00:00:00","00:39:15","--","--"
Indoor Cycling,2025-10-27 06:13:38,false,"Morning bike","0.00","69","00:38:33","74","83","0.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-1","No","00:38:33","1","--","--","--","--","--","--","--","--","00:00:00","00:38:33","--","--"
Running,2025-10-25 07:05:20,false,"Nashville october half","13.31","1,429","01:51:19","181","195","5.0","184","196","8:22","5:51","814","833","1.04","7.8","8.1","236","8:08","297","0.0","285","749","--","--","--","20,448","--","--","-29","No","00:02:59.0","14","--","--","--","--","--","--","--","--","01:51:02","01:51:19","406","630"
Running,2025-10-24 06:16:36,false,"Morning run","2.51","253","00:22:49","153","173","3.0","189","202","9:06","6:08","135","128","0.94","8.0","7.4","239","8:57","267","0.0","260","408","--","--","--","4,300","--","--","-4","No","00:03:55.3","3","--","--","--","--","--","--","--","--","00:22:42","00:22:49","459","555"
Indoor Cycling,2025-10-23 06:05:29,false,"Morning bike","0.00","163","00:48:38","90","116","0.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-3","No","00:00:04.5","2","--","--","--","--","--","--","--","--","00:00:00","00:48:38","--","--"
Indoor Cycling,2025-10-22 06:05:23,false,"Morning bike","0.00","117","00:31:57","93","108","0.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-3","No","00:31:57","1","--","--","--","--","--","--","--","--","00:00:00","00:31:57","--","--"
Indoor Cycling,2025-10-21 06:02:54,false,"Morning bike","0.00","98","00:35:12","83","95","0.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-4","No","00:00:07.5","2","--","--","--","--","--","--","--","--","00:00:00","00:35:12","--","--"
Indoor Cycling,2025-10-20 06:36:13,false,"Morning bike","0.00","60","00:24:16","80","88","0.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-2","No","00:24:16","1","--","--","--","--","--","--","--","--","00:00:00","00:24:16","--","--"
Running,2025-10-18 07:47:28,false,"Tough mudder (infinity run)","32.65","4,062","08:48:36","139","189","5.0","112","245","16:11","3:38","6,345","6,411","0.85","8.9","7.5","264","15:35","270","0.0","158","1,448","--","--","--","61,840","--","--","--","No","00:09:30.8","33","--","--","--","--","--","--","--","--","06:22:19","08:48:36","-1,098","936"
Running,2025-10-17 06:09:43,false,"Morning run (with way run club)","2.69","284","00:25:10","160","181","3.3","178","194","9:22","7:53","131","144","0.97","8.0","7.7","241","9:08","266","0.0","252","419","--","--","--","4,476","--","--","-6","No","00:07:40.6","3","--","--","--","--","--","--","--","--","00:25:00","00:25:47","423","503"
Strength Training,2025-10-16 06:05:35,false,"Weight lift - back and triceps","0.00","190","00:45:57","99","143","0.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","196","117","20","-4","No","00:45:57","1","--","--","--","--","--","--","--","--","00:10:27","00:45:57","--","--"
Strength Training,2025-10-15 06:05:40,false,"Weight lift - shoulders and legs","0.00","150","00:36:57","97","126","0.4","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","146","132","20","-4","No","00:36:57","1","--","--","--","--","--","--","--","--","00:12:24","00:36:57","--","--"
Strength Training,2025-10-14 06:05:58,false,"Weight lift - chest and biceps","0.00","198","00:47:21","100","141","0.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","222","108","20","-4","No","00:47:21","1","--","--","--","--","--","--","--","--","00:10:46","00:47:21","--","--"
Running,2025-10-13 17:18:57,false,"Afternoon run","3.10","322","00:26:24","170","191","3.6","182","190","8:30","6:02","197","207","1.03","7.9","8.2","241","8:24","291","0.0","284","529","--","--","--","4,802","--","--","-6","No","00:00:39.2","4","--","--","--","--","--","--","--","--","00:26:16","00:27:08","441","556"
Strength Training,2025-10-13 06:06:43,false,"Weight lift - shoulders and legs","0.00","166","00:42:15","96","129","0.4","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","138","138","20","-5","No","00:42:15","1","--","--","--","--","--","--","--","--","00:11:29","00:42:15","--","--"
Running,2025-10-10 06:04:43,false,"Morning run","2.72","286","00:23:06","172","189","3.7","180","194","8:30","6:28","144","157","1.04","8.0","8.3","241","8:24","294","0.0","279","485","--","--","--","4,178","--","--","-8","No","00:05:07.5","3","--","--","--","--","--","--","--","--","00:23:05","00:23:06","421","502"
Running,2025-10-09 17:25:06,false,"Afternoon run","4.43","458","00:34:18","178","194","5.0","186","200","7:45","5:34","203","262","1.11","7.4","8.2","228","7:43","311","0.0","302","455","--","--","--","6,388","--","--","-13","No","00:02:50.1","5","--","--","--","--","--","--","--","--","00:34:06","00:36:56","434","590"
Strength Training,2025-10-09 06:08:53,false,"Weight lift - back and triceps","0.00","209","00:41:58","106","135","0.8","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","242","111","20","-6","No","00:41:58","1","--","--","--","--","--","--","--","--","00:15:16","00:41:58","--","--"
Strength Training,2025-10-08 06:23:31,false,"Weight lift - shoulders and legs","0.00","218","00:50:36","100","126","0.4","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","108","120","20","-5","No","00:50:36","1","--","--","--","--","--","--","--","--","00:10:31","00:50:36","--","--"
Strength Training,2025-10-07 06:08:48,false,"Weight lift - chest and biceps","0.00","206","00:43:14","104","128","0.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","196","106","20","-4","No","00:43:14","1","--","--","--","--","--","--","--","--","00:10:41","00:43:14","--","--"
Running,2025-10-06 17:54:20,false,"Afternoon run","3.92","397","00:29:48","176","193","4.6","176","189","7:36","6:03","112","141","1.19","7.7","9.1","237","7:40","314","0.0","312","477","--","--","--","5,242","--","--","-3","No","00:06:56.3","4","--","--","--","--","--","--","--","--","00:29:38","00:33:49","408","497"
Strength Training,2025-10-06 06:15:27,false,"Weight lift - shoulders and legs","0.00","202","00:41:00","105","139","0.8","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","144","138","20","-2","No","00:41:00","1","--","--","--","--","--","--","--","--","00:09:38.4","00:41:00","--","--"
Strength Training,2025-09-29 06:08:30,false,"Weight lift - shoulders and legs","0.00","110","00:28:47","92","133","0.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","106","117","12","-1","No","00:28:47","1","--","--","--","--","--","--","--","--","00:08:25.0","00:28:47","--","--"
