Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18098062754,"Apr 13, 2026, 11:17:01 PM",Evening run,Run,First run back. And it shows.,1862,5.04,189.0,96,false,,Nike Streakfly,activities/19199845186.fit.gz,,,1862.0,1770.0,5046.8,4.48,2.851,50.0,65.0,136.4,175.4,14.0,0.0,,,92.0,88.0,189.0,169.0,,271.0,341.0,,,96.0,477925.0,,,,,,,,267.0,1864.0,,,0.0,,1.0,5139.6,,,,,,,,,,,,,,,,25076153.0,,,,,,,,,,,2.71,0.0,,,,5166.0,0.0,,173.0,183.0,2.904,,,0.0,0.0,,,,0.0,,,,""
18097687235,"Apr 13, 2026, 11:01:26 PM",Evening walk,Walk,"",894,1.23,122.0,3,false,,,activities/19199469072.fit.gz,,,894.0,894.0,1237.9,1.827,1.385,19.0,19.0,137.0,150.4,15.8,-0.1,,,62.0,59.0,122.0,112.0,,,76.0,,,3.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.385,0.0,,,,1768.0,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
17993711977,"Apr 6, 2026, 12:44:24 AM",Evening core,Workout,"",2004,0,149.0,10,false,,,activities/19094286969.fit.gz,,,2004.0,2004.0,0.0,0.0,0.0,0.0,0.0,165.2,169.6,0.0,0.0,,,64.0,51.0,149.0,124.0,,,234.0,,,10.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,178.0,0.0,0.0,,,,0.0,,,,media/8301658F-5BFF-4009-ACD6-4EBFA7900A1F.jpg
17993529306,"Apr 5, 2026, 11:44:01 PM",Evening weight lift,Weight Training,"",3420,0,159.0,28,false,,,activities/19094102823.fit.gz,,,3420.0,3420.0,0.0,0.0,0.0,0.0,0.0,170.2,176.6,0.0,0.0,,,125.0,60.0,159.0,129.0,,,416.0,,,28.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,784.0,0.0,0.0,,,,0.0,,,,media/165B1090-C7A0-45ED-8FCF-C2E3DD4CDFBE.jpg
17864629530,"Mar 26, 2026, 11:53:44 AM",Morning core,Workout,"",1636,1.15,133.0,1,false,,,activities/18964175759.fit.gz,,,1636.0,458.0,1153.5,13.991,2.519,0.0,0.0,176.8,178.8,16.0,0.0,,,51.0,0.0,133.0,115.0,,,151.0,,,1.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.705,0.0,,,,,0.0,,,,,,100.0,0.0,0.0,,,,0.0,,,,media/7C0D8F8F-2385-40E6-BC04-3F028ADEE3BE.jpg
17864246759,"Mar 26, 2026, 10:50:41 AM",Morning weight lift,Weight Training,"",3491,0,148.0,13,false,,,activities/18963791131.fit.gz,,,3491.0,3491.0,0.0,0.0,0.0,0.0,0.0,286.8,291.2,0.0,0.0,,,65.0,51.0,148.0,111.0,,,312.0,,,13.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,366.0,0.0,0.0,,,,0.0,,,,media/AB532B13-F7B5-43A9-AC6C-4B758D57ABE4.jpg
17826814417,"Mar 23, 2026, 11:46:21 AM",Morning core,Workout,"",1724,0,124.0,5,false,,,activities/18926228190.fit.gz,,,1724.0,1724.0,0.0,0.0,0.0,0.0,0.0,255.0,260.0,0.0,0.0,,,88.0,51.0,124.0,104.0,,,138.0,,,5.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,120.0,0.0,0.0,,,,0.0,,,,media/206C3D1D-9384-4E70-9D6E-CC2D84A4C1CB.jpg
17826420710,"Mar 23, 2026, 10:51:30 AM",Morning weight lift,Weight Training,"",2975,0,127.0,7,false,,,activities/18925833140.fit.gz,,,2975.0,2975.0,0.0,0.0,0.0,0.0,0.0,260.0,271.2,0.0,0.0,,,68.0,47.0,127.0,99.0,,,202.0,,,7.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,252.0,0.0,0.0,,,,0.0,,,,media/3DE6F295-C0A7-4A17-9227-29CB27023A34.jpg
17790271471,"Mar 20, 2026, 11:47:06 AM",Morning core,Workout,"",1855,0,135.0,6,false,,,activities/18889299100.fit.gz,,,1855.0,1855.0,0.0,0.0,0.0,0.0,0.0,291.0,293.8,0.0,0.0,,,74.0,58.0,135.0,112.0,,,179.0,,,6.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,66.0,0.0,0.0,,,,0.0,,,,media/5DCEAACA-4EF1-4517-B122-18BA3A9870D4.jpg
17789869331,"Mar 20, 2026, 10:51:06 AM",Morning weight lift,Weight Training,"",3113,0,134.0,9,false,,,activities/18888894673.fit.gz,,,3113.0,3113.0,0.0,0.0,0.0,0.0,0.0,289.6,294.4,0.0,0.0,,,88.0,67.0,134.0,106.0,,,242.0,,,9.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,222.0,0.0,0.0,,,,0.0,,,,media/10C1A923-D124-4D9D-B94C-DA79A77FD817.jpg
17765912280,"Mar 18, 2026, 11:56:00 AM",Morning core,Workout,"",1870,0,131.0,5,false,,,activities/18864809868.fit.gz,,,1870.0,1870.0,0.0,0.0,0.0,0.0,0.0,286.0,291.4,0.0,0.0,,,61.0,48.0,131.0,107.0,,,155.0,,,5.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,78.0,0.0,0.0,,,,0.0,,,,media/F4FF7C0B-942D-495E-BC4B-87C95D015010.jpg
17765466788,"Mar 18, 2026, 10:45:50 AM",Morning weight lift,Weight Training,"",3869,0,153.0,14,false,,,activities/18864363223.fit.gz,,,3869.0,3869.0,0.0,0.0,0.0,0.0,0.0,288.2,293.2,0.0,0.0,,,75.0,61.0,153.0,104.0,,,302.0,,,14.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,392.0,0.0,0.0,,,,0.0,,,,media/87102C30-23BF-455F-A284-3F417992C5B4.jpg
17741561997,"Mar 16, 2026, 12:05:46 PM",Morning core,Workout,"",1802,0,129.0,5,false,,,activities/18840405935.fit.gz,,,1802.0,1802.0,0.0,0.0,0.0,0.0,0.0,270.8,276.4,0.0,0.0,,,75.0,58.0,129.0,108.0,,,152.0,,,5.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,158.0,0.0,0.0,,,,0.0,,,,media/21361EAC-5AF3-4ABC-A13B-00EBF749414B.jpg
17741178505,"Mar 16, 2026, 11:02:41 AM",Morning weight lift,Weight Training,"",3391,0,145.0,11,false,,,activities/18840019847.fit.gz,,,3391.0,3391.0,0.0,0.0,0.0,0.0,0.0,269.0,278.6,0.0,0.0,,,69.0,59.0,145.0,108.0,,,274.0,,,11.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,366.0,0.0,0.0,,,,0.0,,,,media/3FE6B964-8DA2-4A1B-9A1F-BC98B3D22FD2.jpg
17607340874,"Mar 4, 2026, 11:04:45 PM",Afternoon core,Workout,"",2008,0.92,149.0,7,false,,,activities/18705219738.fit.gz,,,2008.0,1587.0,926.1,2.457,0.584,3.0,4.0,217.2,219.8,14.0,0.0,,,64.0,44.0,149.0,122.0,,,231.0,,,7.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.461,0.0,,,,,0.0,,,,,,90.0,0.0,0.0,,,,0.0,,,,""
17606988885,"Mar 4, 2026, 10:11:11 PM",Afternoon weight lift,Weight Training,"",2930,0.12,151.0,0,false,,,activities/18704866942.fit.gz,,,2930.0,192.0,121.8,1.6,0.634,0.0,0.0,216.6,219.6,9.4,0.8,,,79.0,47.0,151.0,118.0,,,304.0,,,0.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,0.0,,,,,0.0,,,,,,576.0,0.0,0.0,,,,0.0,,,,""
17499948533,"Feb 23, 2026, 11:01:33 PM",Afternoon core,Workout,"",1839,0.71,150.0,6,false,,,activities/18597316340.fit.gz,,,1839.0,1187.0,715.7,1.99,0.603,4.0,2.0,217.4,221.0,14.3,0.4,,,66.0,55.0,150.0,123.0,,,213.0,,,6.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.389,0.0,,,,,0.0,,,,,,138.0,0.0,0.0,,,,0.0,,,,""
17499679195,"Feb 23, 2026, 10:18:08 PM",Afternoon weight lift,Weight Training,🎵 sunflower 🎵,2532,0,147.0,6,false,,,activities/18597047821.fit.gz,,,2532.0,2532.0,0.0,0.0,0.0,0.0,0.0,349.2,353.8,0.0,0.0,,,77.0,55.0,147.0,99.0,,,182.0,,,6.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,482.0,0.0,0.0,,,,0.0,,,,""
