Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
04/29/2026,Broccolini,Broccoli,Dinner,6.0,Pieces,26,0,0,2.25,4.50,0,1.50,0.75,0,18.75
04/29/2026,"Nuts, Pistachio, Salted, Dry Cooked, in Shells",Pistachio,Snacks,42.0,Grams,239,0,19.24,8.84,11.57,2.37,3.25,4.33,0,179.76
04/29/2026,Peanut Butter Dates,Peanut,Snacks,4.0,Pieces,240,0,5.33,5.33,42.67,0.67,36,5.33,0,164
04/29/2026,Mini Beef Sticks,Beef,Snacks,2.0,Servings,90,0,6,8,0,3,0,0,30,400
04/29/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,1.0,Each,130,0,8,1,13.50,n/a,10.50,n/a,5,22.50
04/28/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
04/28/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,4.50,43.77,32.48,0.50,20.48,3.50,38.29,166.41
04/28/2026,Fried Chicken Wings,Chicken,Lunch,10.0,Pieces,"1,030",0,70.90,83.80,7.60,19.39,n/a,0,260,250
04/28/2026,Chicken Tikka Masala,Chicken,Dinner,1.0,Serving,498,0,32.20,41.30,12.20,17.90,5.90,2.70,206.30,1425.50
04/28/2026,Mini Naan Garlic Flatbread,Tortilla,Dinner,2.0,Servings,280,0,7,10,46,2,4,2,10,700
04/28/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,1.0,Each,130,0,8,1,13.50,n/a,10.50,n/a,5,22.50
04/28/2026,"Nuts, Pistachio, Salted, Dry Cooked, in Shells",Pistachio,Snacks,21.0,Grams,119,0,9.62,4.42,5.79,1.19,1.63,2.16,0,89.88
04/28/2026,Peanut Butter Dates,Peanut,Snacks,4.0,Pieces,240,0,5.33,5.33,42.67,0.67,36,5.33,0,164
04/28/2026,Turkey Sausage Snack Sticks,Sausage,Snacks,84.0,Grams,210,0,13.13,18.38,5.25,5.25,2.10,0,65.63,866.25
04/28/2026,Baked Chips BBQ (Aldis),PotatoChip,Snacks,28.0,Grams,110,0,1.98,1.98,22,n/a,1.98,0.99,n/a,140
04/28/2026,Creatine Gummies (5 gummies=5g creatine),GummyBear,Snacks,1.0,Serving,50,0,n/a,n/a,10,n/a,10,n/a,n/a,50
04/27/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
04/27/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,4.50,43.77,32.48,0.50,20.48,3.50,38.29,166.41
04/27/2026,"Wrap, Greek Chicken",Wrap,Lunch,1.0,Serving,580,0,27,29,54,n/a,n/a,n/a,n/a,n/a
04/27/2026,Feta Fries,FrenchFries,Lunch,1.0,Serving,250,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
04/27/2026,Beef Brisket Pho,Soup,Dinner,1.0,Serving,705,0,24,43,78,7.10,14,5.40,108,n/a
04/27/2026,Grilled Chicken,Chicken,Dinner,6.0,Ounces,180,0,1.50,39,0,0,0,0,97.50,112.50
04/27/2026,Dried Mango Slices,Mango,Snacks,4.0,Slices,140,0,0,1,35,0,27,2,0,65
04/27/2026,"Fig Bar, Blueberry",Bar,Snacks,1.0,Piece,100,0,2.50,2,20,0,10,2,0,35
04/27/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,1.0,Each,130,0,8,1,13.50,n/a,10.50,n/a,5,22.50
04/27/2026,Peanut Butter Dates,Peanut,Snacks,2.0,Pieces,120,0,2.67,2.67,21.33,0.33,18,2.67,0,82
05/04/2026,Running,Running,Exercise,27,minutes,-300.956,0
04/30/2026,HealthKit Workout,HealthkitExercise,Exercise,58,minutes,-249.0,0
04/29/2026,HealthKit Workout,HealthkitExercise,Exercise,30,minutes,-327.0,0
04/28/2026,HealthKit Workout,HealthkitExercise,Exercise,54,minutes,-212.0,0
04/27/2026,HealthKit Workout,HealthkitExercise,Exercise,33,minutes,-407.0,0
