Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
02/23/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
02/23/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,6.16,42.11,30.82,1.33,17.16,3.50,38.29,145.68
02/23/2026,Chuck Roast Rice Bowl,Recipe,Lunch,1.0,Serving,534,0,17.68,45.36,50.89,6.34,2,1.34,120,1300
02/23/2026,"Chicken Thighs Bone In, Skin In",Chicken,Dinner,1.0,Piece,240,0,19,16,0,6,0,0,90,75
02/23/2026,Cheese Ravioli (frozen),Ravioli,Dinner,20.0,Pieces,500,0,8,22,84,6,6,6,100,560
02/23/2026,"Bone Broth, Beef",Soup,Dinner,1.0,Cup,40,0,0,10,0,0,0,0,0,250
02/23/2026,Banana,Banana,Snacks,1.0,Each,100,0,0.30,1.10,23.10,n/a,n/a,n/a,n/a,n/a
02/23/2026,Honey Almond Butter,AlmondButter,Snacks,16.0,Grams,90,0,7.50,3,5,1,2.50,1.50,n/a,32.50
02/23/2026,"Kiwi, Small",Kiwi,Snacks,148.0,Grams,100,0,n/a,2,24,n/a,16,4,n/a,n/a
02/23/2026,creatine gummies,GummyBear,Snacks,1.0,Serving,70,0,n/a,n/a,15,n/a,5,n/a,n/a,50
02/22/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
02/22/2026,Beef Brisket Pho,Soup,Lunch,1.0,Serving,705,0,24,43,78,7.10,14,5.40,108,n/a
02/22/2026,"Beef Jerky, Original",Beef,Dinner,200.0,Grams,571,0,10.71,78.57,35.71,3.57,28.57,0,178.57,4785.71
02/22/2026,Curly seasoned fries,FrenchFries,Dinner,1.0,Serving,150,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
02/22/2026,Baked Chips BBQ (Aldis),PotatoChip,Snacks,28.0,Grams,110,0,1.98,1.98,22,n/a,1.98,0.99,n/a,140
02/22/2026,"Candy, Soft, Chewy, Kids",Candy,Snacks,12.0,Pieces,105,0,0,0,26.25,0,24.75,0,0,18.75
02/22/2026,"Fruit, Lychee, Peeled",Melon,Snacks,30.0,Pieces,210,0,0,3,48,n/a,48,3,0,0
02/22/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,1.0,Each,130,0,8,1,13.50,n/a,10.50,n/a,5,22.50
02/22/2026,"Kiwi, Small",Kiwi,Snacks,148.0,Grams,100,0,n/a,2,24,n/a,16,4,n/a,n/a
02/21/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
02/21/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,6.16,42.11,30.82,1.33,17.16,3.50,38.29,145.68
02/21/2026,"Fish, Pink Salmon, Canned",Fish,Lunch,1.0,Can,428,0,15.21,72.70,0,2.65,0,0,258.30,1256.85
02/21/2026,"Bread, French Baguette",Baguette,Lunch,1.0,Each,180,0,1,6,36,0,0,1,0,440
02/21/2026,"Kiwi, Small",Kiwi,Snacks,148.0,Grams,100,0,n/a,2,24,n/a,16,4,n/a,n/a
02/21/2026,"Chips, Kettle, Original",PotatoChip,Snacks,28.0,Grams,150,0,9,2,17,1,1,1,0,89.90
02/21/2026,Bacon,Bacon,Snacks,5.0,Slices,225,0,17.50,12.50,0,6.25,0,0,37.50,700
02/21/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,2.0,Each,260,0,16,2,27,n/a,21,n/a,10,45
02/21/2026,"Beef Jerky, Original",Beef,Snacks,200.0,Grams,571,0,10.71,78.57,35.71,3.57,28.57,0,178.57,4785.71
02/21/2026,"Fruit, Lychee, Peeled",Melon,Snacks,20.0,Pieces,140,0,0,2,32,n/a,32,2,0,0
02/21/2026,"Grapes, Green",Grapes,Snacks,0.5,Cup,52,0,0.12,0.54,13.67,0.4,11.69,0.68,0,1.51
02/21/2026,Cuties,Orange,Snacks,1.0,Each,40,0,0.25,0.50,8.50,0,6.50,2,0,0
02/20/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
02/20/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,6.16,42.11,30.82,1.33,17.16,3.50,38.29,145.68
02/20/2026,Beef Stew Chunks,Beef,Lunch,6.0,Ounces,225,0,7.50,36,0,n/a,n/a,0,n/a,n/a
02/20/2026,"Rice, Basmati, White, Cooked",Rice,Lunch,0.67,Pouch,214,0,1.67,5.36,44.89,0.33,0,1.34,0,0
02/20/2026,"Rice, Basmati, White, Cooked",Rice,Dinner,0.67,Pouch,214,0,1.67,5.36,44.89,0.33,0,1.34,0,0
02/20/2026,Beef Stew Chunks,Beef,Dinner,6.0,Ounces,225,0,7.50,36,0,n/a,n/a,0,n/a,n/a
02/20/2026,Stir-Fried Raman (Spicy Chicken),StirFryNoodles,Dinner,150.0,Grams,568,0,17.14,12.86,91.7,8.57,7.50,4.29,0,1371.43
02/20/2026,Sausage (Kosher),Sausage,Dinner,50.0,Grams,55,0,4,4.80,n/a,n/a,n/a,n/a,n/a,n/a
02/20/2026,Baked Chips BBQ (Aldis),PotatoChip,Snacks,28.0,Grams,110,0,1.98,1.98,22,n/a,1.98,0.99,n/a,140
02/20/2026,"Kiwi, Small",Kiwi,Snacks,148.0,Grams,100,0,n/a,2,24,n/a,16,4,n/a,n/a
02/20/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,2.0,Each,260,0,16,2,27,n/a,21,n/a,10,45
02/19/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
02/19/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,6.16,42.11,30.82,1.33,17.16,3.50,38.29,145.68
02/19/2026,Salmon Rice Bowl,Recipe,Lunch,1.0,Serving,354,0,6.67,28.36,44.89,1.34,0,1.34,50,85
02/19/2026,"Brown Rice, Cooked",Rice,Dinner,2.0,Cups,432,0,3.60,10,90,0.80,1.40,7,0,20
