Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
03/08/2026,Beef Brisket Pho,Soup,Lunch,1.0,Serving,705,0,24,43,78,7.10,14,5.40,108,n/a
03/08/2026,Chuck Roast Rice Bowl,Recipe,Dinner,1.0,Serving,604,0,17.68,47.68,65.97,6.34,2,1.34,120,1300
03/08/2026,Sea Salt & Vinegar Kettle Chips,PotatoChip,Dinner,28.0,Grams,150,0,8,1,17,0.50,1,1,0,160
03/08/2026,"Cookies, Chocolate Chip, Chewy Mini",Cookie,Snacks,4.0,Pieces,140,0,5,1,22,3,12,1,0,85
03/08/2026,"Candy, Juicy Burst",Snack,Snacks,44.0,Grams,140,0,n/a,1,32,n/a,26,n/a,n/a,50
03/08/2026,Beef jerky,Beef,Snacks,1.0,Serving,90,0,6,9,0.50,2.50,n/a,n/a,25,290
03/07/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
03/07/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,6.16,42.11,30.82,1.33,17.16,3.50,38.29,145.68
03/07/2026,Rotisserie Chicken,Chicken,Dinner,3.0,Ounces,150,0,8,18,3,n/a,0,0,n/a,n/a
03/07/2026,Petite Potatoes With Herbs De Provence,Potato,Dinner,1.0,Cup,160,0,0,4,36,0,2,4,0,160
03/07/2026,"Chili, w/ Beef & Beans",StewBrown,Dinner,2.0,Servings,640,0,32,38,44,14,10,20,86,1024
03/07/2026,Bacon,Bacon,Dinner,4.0,Slices,180,0,14,10,0,5,0,0,30,560
03/07/2026,"Kiwi, Small",Kiwi,Snacks,148.0,Grams,100,0,n/a,2,24,n/a,16,4,n/a,n/a
03/07/2026,"Candy, Juicy Burst",Snack,Snacks,44.0,Grams,140,0,n/a,1,32,n/a,26,n/a,n/a,50
03/07/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,1.0,Each,130,0,8,1,13.50,n/a,10.50,n/a,5,22.50
03/07/2026,Dragon's Eye Fruit - Longan,Date,Snacks,8.0,Ounces,161,0,0.23,2.72,37.65,n/a,34.47,0.91,n/a,9.7
03/07/2026,Jalapeno Kettle Cooked Potato Chips,PotatoChip,Snacks,28.0,Grams,148,0,8.89,1.98,14.82,2.47,0,0.99,0,128.40
03/07/2026,Sea Salt & Vinegar Kettle Chips,PotatoChip,Snacks,28.0,Grams,150,0,8,1,17,0.50,1,1,0,160
03/06/2026,Chai Latte,Recipe,Breakfast,2.0,Servings,300,0,11.50,10,37,7.50,36,0,50,170
03/06/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,6.16,42.11,30.82,1.33,17.16,3.50,38.29,145.68
03/06/2026,Chuck Roast Rice Bowl,Recipe,Lunch,1.0,Serving,604,0,17.68,47.68,65.97,6.34,2,1.34,120,1300
03/06/2026,"Chips, Kettle, Original",PotatoChip,Lunch,28.0,Grams,150,0,9,2,17,1,1,1,0,89.90
03/06/2026,Verde Salsa,Sauce,Lunch,6.0,Tablespoons,15,0,0,0,2.22,0,2.22,0,0,332.70
03/06/2026,Homemade,Chicken,Dinner,1.0,Each,545,0,0.10,16,16.30,n/a,n/a,n/a,n/a,n/a
03/06/2026,Rotisserie Chicken,Chicken,Dinner,6.0,Ounces,300,0,16,36,6,n/a,0,0,n/a,n/a
03/06/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,1.0,Each,130,0,8,1,13.50,n/a,10.50,n/a,5,22.50
03/06/2026,"Candy, Juicy Burst",Snack,Snacks,44.0,Grams,140,0,n/a,1,32,n/a,26,n/a,n/a,50
03/05/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
03/05/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,6.16,42.11,30.82,1.33,17.16,3.50,38.29,145.68
03/05/2026,Chuck Roast Rice Bowl,Recipe,Lunch,1.0,Serving,604,0,17.68,47.68,65.97,6.34,2,1.34,120,1300
03/05/2026,"Chips, Kettle, Original",PotatoChip,Lunch,28.0,Grams,150,0,9,2,17,1,1,1,0,89.90
03/05/2026,Verde Salsa,Sauce,Lunch,6.0,Tablespoons,15,0,0,0,2.22,0,2.22,0,0,332.70
03/05/2026,"Bun, Hot Dog, Plain",HotDogBun,Dinner,3.0,Each,360,0,5.59,12.25,63.79,1.41,8.6,2.71,0,617.91
03/05/2026,Chicken Wings Naked,Chicken,Dinner,4.0,Pieces,340,0,24,40,n/a,4,n/a,n/a,92,200
03/05/2026,"Nachos, Homemade",TortillaChip,Dinner,12.0,Pieces,415,0,19.20,15.20,47.36,7.12,7.76,9.12,7.20,1164
03/05/2026,Whiskey and Coke,Alcohol,Dinner,2.0,Servings,100,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
03/05/2026,Homemade Sweet Tea,IcedTea,Dinner,12.0,Fluid ounces,120,0,0,0,31.58,0,30.7,0,0,0
03/05/2026,Sour Gummy Skittles,Candy,Dinner,28.0,Grams,90,0,0,1,23,0,18,0,0,0
03/04/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,6.16,42.11,30.82,1.33,17.16,3.50,38.29,145.68
03/04/2026,Chuck Roast Rice Bowl,Recipe,Lunch,1.0,Serving,604,0,17.68,47.68,65.97,6.34,2,1.34,120,1300
03/04/2026,Sea Salt & Vinegar Kettle Chips,PotatoChip,Lunch,28.0,Grams,150,0,8,1,17,0.50,1,1,0,160
03/04/2026,Verde Salsa,Sauce,Lunch,6.0,Tablespoons,15,0,0,0,2.22,0,2.22,0,0,332.70
03/04/2026,Costco Chicken Wings,Chicken,Dinner,4.0,Pieces,420,0,30,36,2,n/a,n/a,n/a,n/a,n/a
03/04/2026,"Rice, Spanish",Rice,Dinner,0.5,Cup,105,0,4.50,5,55,0,2,2,0,830
03/04/2026,Petite Potatoes With Herbs De Provence,Potato,Dinner,2.0,Cups,320,0,0,8,72,0,4,8,0,320
03/04/2026,Kimchi,Cabbage,Dinner,30.0,Grams,10,0,n/a,1.10,2.40,n/a,n/a,n/a,n/a,n/a
03/04/2026,"Kiwi, Small",Kiwi,Snacks,148.0,Grams,100,0,n/a,2,24,n/a,16,4,n/a,n/a
03/04/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,2.0,Each,260,0,16,2,27,n/a,21,n/a,10,45
