Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
03/16/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
03/16/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,6.16,42.11,30.82,1.33,17.16,3.50,38.29,145.68
03/16/2026,Chuck Roast Rice Bowl,Recipe,Lunch,1.0,Serving,604,0,17.68,47.68,65.97,6.34,2,1.34,120,1300
03/16/2026,Creatine Gummies (5 gummies=5g creatine),GummyBear,Snacks,1.0,Serving,50,0,n/a,n/a,10,n/a,10,n/a,n/a,50
03/16/2026,"Kiwi, Small",Kiwi,Snacks,148.0,Grams,100,0,n/a,2,24,n/a,16,4,n/a,n/a
03/16/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,1.0,Each,130,0,8,1,13.50,n/a,10.50,n/a,5,22.50
03/15/2026,Beef Brisket Pho,Soup,Lunch,1.0,Serving,705,0,24,43,78,7.10,14,5.40,108,n/a
03/15/2026,Krystal fries (small ),FrenchFries,Dinner,1.0,Serving,184,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
03/15/2026,"Hamburger, Cheese Krystal",Cheeseburger,Dinner,4.0,Each,640,0,32,28,80,16,8,4,80,1880
03/15/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,2.0,Each,260,0,16,2,27,n/a,21,n/a,10,45
03/15/2026,"Beef Jerky, Original",Beef,Snacks,100.0,Grams,286,0,5.36,39.29,17.86,1.79,14.29,0,89.29,2392.86
03/14/2026,"Ground Beef, Taco Meat",Beef,Breakfast,0.5,Cup,165,0,7,24,2,2.50,0,1,65,530
03/14/2026,Seasoned Seaweed Mini Packs,Seaweed,Breakfast,2.0,Servings,40,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
03/14/2026,Grilled Chicken,Chicken,Breakfast,4.0,Ounces,120,0,1,26,0,0,0,0,65,75
03/14/2026,Sweet Potato Fries,Potato,Breakfast,1.0,Serving,160,0,5,1,25,0.70,9,2,0,270
03/14/2026,"Beef, Top Sirloin Steak, Lean, Cooked",Beef,Lunch,4.0,Ounces,291,0,17.86,30.39,0,7.3,0,0,94.12,61.23
03/14/2026,Sweet Potato Fries,Potato,Lunch,1.0,Serving,160,0,5,1,25,0.70,9,2,0,270
03/14/2026,Garlic Breadsticks,Breadsticks,Lunch,2.0,Servings,300,0,10,12,44,5,6,2,10,540
03/14/2026,"Chili, w/ Beef & Beans",StewBrown,Lunch,1.0,Serving,320,0,16,19,22,7,5,10,43,512
03/14/2026,"Beef, Top Sirloin Steak, Lean, Cooked",Beef,Dinner,4.0,Ounces,291,0,17.86,30.39,0,7.3,0,0,94.12,61.23
03/14/2026,Sweet Potato Fries,Potato,Dinner,1.0,Serving,160,0,5,1,25,0.70,9,2,0,270
03/14/2026,Corn on the Cob,Corn,Dinner,0.5,Each,45,0,0.50,1.50,9.50,0,2.50,0.50,0,0
03/14/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,4.0,Each,520,0,32,4,54,n/a,42,n/a,20,90
03/14/2026,"Candy, Juicy Burst",Snack,Snacks,44.0,Grams,140,0,n/a,1,32,n/a,26,n/a,n/a,50
03/13/2026,"Beef, Top Sirloin Steak, Lean, Cooked",Beef,Dinner,8.0,Ounces,583,0,35.72,60.78,0,14.6,0,0,188.24,122.47
03/13/2026,"Mashed Potatoes, Homemade w/ Whole Milk & Butter",Potato,Dinner,1.0,Cup,237,0,8.86,3.91,35.30,5.48,3,3.15,23.10,665.70
03/13/2026,Aldi - Wild Caught Pink Salmon,Fish,Dinner,4.0,Ounces,140,0,5,23,0,1,0,0,50,85
