Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
04/27/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
04/27/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,4.50,43.77,32.48,0.50,20.48,3.50,38.29,166.41
04/27/2026,Creatine Gummies (5 gummies=5g creatine),GummyBear,Snacks,1.0,Serving,50,0,n/a,n/a,10,n/a,10,n/a,n/a,50
04/27/2026,"Kiwi, Small",Kiwi,Snacks,148.0,Grams,100,0,n/a,2,24,n/a,16,4,n/a,n/a
04/27/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,1.0,Each,130,0,8,1,13.50,n/a,10.50,n/a,5,22.50
04/26/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
04/26/2026,Beef Brisket Pho,Soup,Lunch,1.0,Serving,705,0,24,43,78,7.10,14,5.40,108,n/a
04/26/2026,Fried Chicken Wings,Chicken,Lunch,6.0,Pieces,618,0,42.54,50.28,4.56,11.63,n/a,0,156,150
04/26/2026,"French Fries, Small",FrenchFries,Dinner,1.0,Serving,230,0,11,3,29,1.50,0,3,0,160
04/26/2026,"Mcnuggets, 4 Piece",ChickenTenders,Dinner,6.0,Pieces,255,0,16.50,15,16.50,3,0,1.50,45,510
04/25/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
04/25/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,4.50,43.77,32.48,0.50,20.48,3.50,38.29,166.41
04/25/2026,"Pizza, Pepperoni, Slice",Pizza,Lunch,1.0,Each,620,0,24,34,68,11,7,3,60,1290
04/25/2026,"Hot Dog, K.S.",Hotdog,Lunch,1.0,Each,570,0,33,24,46,12,9,2,80,1750
04/25/2026,"Soda, Sprite, 12oz Can",CocaCola,Lunch,18.0,Fluid ounces,210,0,0,0,57,n/a,57,n/a,n/a,97.50
04/25/2026,Chinese Buffett,Default,Dinner,2.0,Servings,"1,000",0,32,30,n/a,n/a,n/a,n/a,n/a,n/a
04/25/2026,Orange Juice,OrangeJuice,Dinner,10.0,Fluid ounces,138,0,0,2.50,32.50,0,31.25,1.25,0,0
04/24/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
04/24/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,4.50,43.77,32.48,0.50,20.48,3.50,38.29,166.41
04/24/2026,Ribeye Steak,Beef,Lunch,6.0,Ounces,420,0,30,33,0,n/a,n/a,n/a,n/a,n/a
04/24/2026,"Rice, Basmati, White, Cooked",Rice,Lunch,0.67,Pouch,214,0,1.67,5.36,44.89,0.33,0,1.34,0,0
04/24/2026,"Fish, Pink Salmon, Canned",Fish,Dinner,1.0,Can,428,0,15.21,72.70,0,2.65,0,0,258.30,1256.85
04/24/2026,"Bread, French Baguette",Baguette,Dinner,2.0,Each,360,0,2,12,72,0,0,2,0,880
04/24/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,1.0,Each,130,0,8,1,13.50,n/a,10.50,n/a,5,22.50
04/24/2026,Orange Juice,OrangeJuice,Snacks,8.0,Fluid ounces,110,0,0,2,26,0,25,1,0,0
04/23/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
04/23/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,4.50,43.77,32.48,0.50,20.48,3.50,38.29,166.41
04/23/2026,Chicken Tenderlions,Chicken,Lunch,6.0,Ounces,135,0,0.75,33,0,0,0,0,n/a,n/a
04/23/2026,"Rice, Basmati, White, Cooked",Rice,Lunch,0.67,Pouch,214,0,1.67,5.36,44.89,0.33,0,1.34,0,0
04/23/2026,"Pasta, Chicken, Creamy, Cheesy, Alfredo",Pasta,Dinner,1.0,Each,400,0,22,14,36,8,4,2,45,970
04/23/2026,Chicken breast nuggets,ChickenTenders,Dinner,12.0,Pieces,552,0,36,28.80,33.60,7.20,0,n/a,72,1440
04/23/2026,"Nuts, Pistachio, Salted, Dry Cooked, in Shells",Pistachio,Snacks,42.0,Grams,239,0,19.24,8.84,11.57,2.37,3.25,4.33,0,179.76
04/23/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,2.0,Each,260,0,16,2,27,n/a,21,n/a,10,45
04/23/2026,Beer,Beer,Snacks,12.0,Fluid ounces,153,0,0,1.64,12.64,0,0,0,0,14.24
04/22/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
04/22/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,4.50,43.77,32.48,0.50,20.48,3.50,38.29,166.41
04/22/2026,Chicken Tenderlions,Chicken,Lunch,6.0,Ounces,135,0,0.75,33,0,0,0,0,n/a,n/a
04/22/2026,"Rice, Basmati, White, Cooked",Rice,Lunch,0.67,Pouch,214,0,1.67,5.36,44.89,0.33,0,1.34,0,0
04/22/2026,Fried catfish fillet,Fish,Dinner,4.0,Each,"1,200",0,120,140,20,40,0,0,400,400
04/22/2026,Beer,Beer,Dinner,12.0,Fluid ounces,153,0,0,1.64,12.64,0,0,0,0,14.24
04/21/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
04/21/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,4.50,43.77,32.48,0.50,20.48,3.50,38.29,166.41
04/21/2026,Vietnamese Bahn Xeo Crepes,Pancakes,Lunch,2.0,Servings,493,0,19.60,30.40,50.80,14.20,2,3,135.80,638
04/21/2026,Asparagus,Asparagus,Lunch,141.7,Grams,28,0,0.17,3.12,5.50,0.6,2.66,2.98,0,2.83
04/21/2026,Aldi - Wild Caught Pink Salmon,Fish,Dinner,8.0,Ounces,280,0,10,46,0,2,0,0,100,170
04/21/2026,"Chips, Tortilla, Restaurant Style, Original",TortillaChip,Dinner,20.0,Each,400,0,20,5.71,54.29,2.86,0,2.86,0,328.57
04/21/2026,Chicken breast nuggets,ChickenTenders,Dinner,16.0,Pieces,736,0,48,38.40,44.80,9.60,0,n/a,96,1920
04/21/2026,"Nuts, Pistachio, Salted, Dry Cooked, in Shells",Pistachio,Snacks,21.0,Grams,119,0,9.62,4.42,5.79,1.19,1.63,2.16,0,89.88
04/21/2026,Oreos Cookie,Cookie,Snacks,6.0,Pieces,420,0,n/a,6,102,n/a,84,6,0,540
04/20/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
04/20/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,6.16,42.11,30.82,1.33,17.16,3.50,38.29,145.68
04/20/2026,Classic Bone-In Wingstop BBQ,ChickenWing,Lunch,2.0,Servings,200,0,10,20,8,3,6,0,90,300
04/20/2026,"Regular Wing, Lemon Pepper",Chicken,Lunch,4.0,Pieces,360,0,26,30,2,6,0,0,n/a,n/a
04/20/2026,Chicken Tenderlions,Chicken,Dinner,12.0,Ounces,270,0,1.50,66,0,0,0,0,n/a,n/a
04/20/2026,"White Rice, Steamed",Rice,Dinner,0.5,Cup,142,0,0,2.35,31.20,0,0.59,0.59,0,0
04/20/2026,"Brown Rice, Cooked",Rice,Dinner,0.5,Cup,108,0,0.90,2.50,22.50,0.20,0.35,1.75,0,5
04/27/2026,Running,Running,Exercise,45,minutes,-501.594,0
04/20/2026,HealthKit Workout,HealthkitExercise,Exercise,35,minutes,-384.0,0
