Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
04/06/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
04/06/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,6.16,42.11,30.82,1.33,17.16,3.50,38.29,145.68
04/06/2026,Ground Beef Rice Bowl,Recipe,Lunch,1.0,Serving,609,0,32.31,30.67,46.56,12.32,0,2.17,106.56,374.90
04/06/2026,Creatine Gummies (5 gummies=5g creatine),GummyBear,Snacks,1.0,Serving,50,0,n/a,n/a,10,n/a,10,n/a,n/a,50
04/06/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,1.0,Each,130,0,8,1,13.50,n/a,10.50,n/a,5,22.50
04/05/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
04/05/2026,Beef Brisket Pho,Soup,Lunch,1.0,Serving,705,0,24,43,78,7.10,14,5.40,108,n/a
04/05/2026,"Nuts, Peanuts, Dry Roasted",Peanut,Snacks,2.0,Ounces,324,0,28.35,14.17,10.12,4.5,4.5,4.5,0,384.74
04/05/2026,"Bagel, Cinnamon Raisin, Large",Bagel,Snacks,1.0,Each,358,0,2.23,12.84,72.31,0.35,7.83,3.1,0,421.82
04/05/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,1.0,Each,130,0,8,1,13.50,n/a,10.50,n/a,5,22.50
04/04/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
04/04/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,6.16,42.11,30.82,1.33,17.16,3.50,38.29,145.68
04/04/2026,Fried Chicken 1 Breast,Chicken,Lunch,1.0,Serving,354,0,5.90,48,8.30,0,0,0,124,377
04/04/2026,Fried Chicken Leg,Chicken,Lunch,1.0,Serving,120,0,4,24,6,n/a,n/a,n/a,n/a,n/a
04/04/2026,"French Fries, Seasoned",FrenchFries,Lunch,146.0,Grams,240,0,8.58,3.43,32.62,0,1.72,3.43,0,566.50
04/04/2026,Snow Crab Legs,Crab,Dinner,12.0,Ounces,400,0,60,80,n/a,n/a,n/a,n/a,240,2360
04/04/2026,Macaroni And Cheese,MacAndCheese,Dinner,0.5,Cup,200,0,11,8.50,17,5.50,2,0.50,22.50,280
04/04/2026,"Stuffing, From Mix",Stuffing,Dinner,0.5,Cup,177,0,8.60,3.20,21.70,1.73,2.11,2.90,0,543
04/04/2026,Creatine Gummies (5 gummies=5g creatine),GummyBear,Snacks,1.0,Serving,50,0,n/a,n/a,10,n/a,10,n/a,n/a,50
04/03/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
04/03/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,6.16,42.11,30.82,1.33,17.16,3.50,38.29,145.68
04/03/2026,Chuck Roast Rice Bowl,Recipe,Lunch,1.0,Serving,604,0,17.68,47.68,65.97,6.34,2,1.34,120,1300
04/03/2026,"French Fries, Seasoned",FrenchFries,Dinner,146.0,Grams,240,0,8.58,3.43,32.62,0,1.72,3.43,0,566.50
04/03/2026,Fried Chicken Thigh,Chicken,Dinner,2.0,Servings,320,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
04/03/2026,Fried Chicken Leg,Chicken,Dinner,1.0,Serving,120,0,4,24,6,n/a,n/a,n/a,n/a,n/a
04/03/2026,Creatine Gummies (5 gummies=5g creatine),GummyBear,Snacks,1.0,Serving,50,0,n/a,n/a,10,n/a,10,n/a,n/a,50
04/03/2026,"Biscuit, Small",Biscuit,Snacks,1.0,Each,128,0,5.77,2.17,16.97,0.87,1.22,0.46,0.35,368.20
04/03/2026,Sundae shoppe ice cream crunch bars,IceCreamBar,Snacks,1.0,Each,130,0,8,1,13.50,n/a,10.50,n/a,5,22.50
04/02/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
04/02/2026,Parfait Cup,Recipe,Breakfast,1.0,Serving,340,0,6.16,42.11,30.82,1.33,17.16,3.50,38.29,145.68
04/02/2026,Chuck Roast Rice Bowl,Recipe,Lunch,1.0,Serving,604,0,17.68,47.68,65.97,6.34,2,1.34,120,1300
04/02/2026,Fried Chicken 1 Breast,Chicken,Dinner,1.0,Serving,354,0,5.90,48,8.30,0,0,0,124,377
